Phoneme	SegmentClass	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click	Representation
N	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	-	0.002577319587628866
R	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	-	0.003681885125184094
Rʲ	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	0	0	+	-	-	-	-	-	-	-	-	0.0003681885125184094
R̪	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	-	0.0003681885125184094
R̪|R	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	0	-	-	0	0	0	0	0	0	0	+	-	-	-	-	-	-	-	-	0.013254786450662739
R̪̥|R̥	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	0	-	-	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	0.0003681885125184094
R̪̰|R̰	consonant	-	-	-	-	+	+	+	0	+	0	0	-	-	-	0	0	+	+	0	-	-	0	0	0	0	0	0	0	+	-	-	+	-	-	-	-	-	0.0011045655375552283
a	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.8935935198821797
ae	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0029455081001472753
ae̞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0014727540500736377
ae̞ˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	0	-,-,+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ae̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0007363770250368188
ai	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.03240058910162003
ai̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.005891016200294551
ai̯ː	vowel	-	+,-	-	-,+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ao	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.003681885125184094
ao̞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-	+,-	-	-,+	0	-	-	+	-	-	-	0	0	-	-	0	0.0014727540500736377
ao̞ˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-	+,-	-	-,+	0	-,-,+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
au	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.027245949926362298
auː	vowel	-	+	-	-,+	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
au̜	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	0	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
au̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.004786450662739323
ay	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0007363770250368188
aɔ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-	+,-	-	-,+	-	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aə	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	-	-	-	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aɛ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	-	-	-	+	-	-	-	0	0	-	-	0	0.001840942562592047
aɨ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0007363770250368188
aɪ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	-	-	-	+	-	-	-	0	0	-	-	0	0.004786450662739323
aɪ̃	vowel	-	+	-	-	-	+	+	0	+	-	-	-,+	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	-	-	-	+	-	-	-	0	0	-	-	0	0.0007363770250368188
aɪ̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	-	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aɯ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0014727540500736377
aɯ̃	vowel	-	+	-	-	-	+	+	0	+	-	-	-,+	-	-	0	0	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aɵ̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-	+,-	-	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aʊ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	-	-	-	+	-	-	-	0	0	-	-	0	0.003681885125184094
aʊɪ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+,-	+	-	-	0	0	0	+	-,+,+	+,-,-	-,-,+	-,+,-	-	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aʊ̃	vowel	-	+	-	-	-	+	+	0	+	-	-	-,+	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	-	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aʊ̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	-	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aʱ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	+	-	0	0	-	-	0	0.0003681885125184094
aʲ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aʲː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aˀ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	+	0	0	-	-	0	0.0003681885125184094
aː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.30375552282768775
aːi	vowel	-	+	-	+,-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aːĭ	vowel	-	+	-,+	+,-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aːi̯	vowel	-	+,-	-	+,-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aːu	vowel	-	+	-	+,-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0007363770250368188
aːŭ	vowel	-	+	-,+	+,-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aːu̯	vowel	-	+,-	-	+,-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aːɪ	vowel	-	+	-	+,-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	-	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aˑ	vowel	-	+	+	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.002577319587628866
a˞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	+	+	+	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.001840942562592047
a˞ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	+	+	+	+	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
a˞ˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	+	+	+	+	-	+	-	-	0	-,+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aˠ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
aˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-,+	-	+	-	-	-	0	0	-	-	0	0.0022091310751104565
aˤː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-,+	-	+	-	-	-	0	0	-	-	0	0.0014727540500736377
ã	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.18298969072164947
ãẽ̞ˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	0	-,-,+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ãi	vowel	-	+	-	-	-	+	+	0	+	-	-	+,-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ãĩ	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0007363770250368188
ãi̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	+,-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ãõ	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-,+	+	-	-	0	0	0	+	-	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ãõ̞ˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-,+	+	-	-	0	0	0	+	-	+,-	-	-,+	0	-,-,+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ãũ	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0007363770250368188
ãu̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	+,-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ãũ̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	+	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ãɛ̃	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+,-	-,+	-	-	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ãɪ̯ː	vowel	-	+,-	-	-,+	-	+	+	0	+	-	-	+,-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	-	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ãː	vowel	-	+	-	+	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.029086892488954345
ãˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-,+	-	+	-	-	-	0	0	-	-	0	0.0007363770250368188
ãˤː	vowel	-	+	-	+	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-,+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ã̈	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0029455081001472753
ã̈ː	vowel	-	+	-	+	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.001840942562592047
ă	vowel	-	+	+	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0022091310751104565
ẵ	vowel	-	+	+	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ä	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.02577319587628866
äi	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
äi̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0011045655375552283
äu̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	-	0	0	-	-	0	0.0014727540500736377
äu̽	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-	+,-	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
äː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.01288659793814433
å	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	-	-	-	-	0	0	-	-	0	0.0003681885125184094
a̙	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
a̙ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
a̙ˠ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-	-	0	+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
a̞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
a̟	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	0	-	0	-	-	+	-	-	-	0	0	-	-	0	0.015832106038291605
a̟i	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
a̟ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	0	-	0	-	-	+	-	-	-	0	0	-	-	0	0.004418262150220913
a̟˞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	+	+	+	+	+	-	+	0	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ã̟	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	0	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0029455081001472753
ã̟ĩ	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-,+	+,-	+	-	+	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ã̟ː	vowel	-	+	-	+	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	0	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
a̟̙ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	0	-	0	+	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
a̠	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	-	+	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
a̠ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	-	+	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
ä̠	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	-	+	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0014727540500736377
ä̠ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	-	+	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0	0.0003681885125184094
a̤	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	+	-	0	0	-	-	0	0.007731958762886598
a̤i̤	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	+	-	0	0	-	-	0	0.0003681885125184094
a̤ṳ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	+	-	0	0	-	-	0	0.0003681885125184094
a̤ɯ̤	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	+	-	0	0	-	-	0	0.0003681885125184094
a̤ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	+	-	0	0	-	-	0	0.002577319587628866
a̤ˑ	vowel	-	+	+	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	+	-	0	0	-	-	0	0.0011045655375552283
ã̤	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	+	-	0	0	-	-	0	0.0003681885125184094
ã̤̈ː	vowel	-	+	-	+	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	+	-	0	0	-	-	0	0.0003681885125184094
ä̤	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	+	-	0	0	-	-	0	0.0003681885125184094
ḁ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	-	-	-	-	0	0	-	-	0	0.0003681885125184094
a̰	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	+	0	0	-	-	0	0.009941089837997054
a̰ḭ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	+	-	-	+	-	-	+	0	0	-	-	0	0.0003681885125184094
a̰ṵ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-,+	+	-	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	+	0	0	-	-	0	0.0003681885125184094
a̰ɪ̰	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-,+	-	-	-	-	+	-	-	+	0	0	-	-	0	0.0003681885125184094
a̰ɯ̰	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-,+	+,-	-	-,+	+	-	-	+	-	-	+	0	0	-	-	0	0.0003681885125184094
a̰ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	+	0	0	-	-	0	0.0003681885125184094
a̰ˑ	vowel	-	+	+	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	+	0	0	-	-	0	0.0003681885125184094
ã̰	vowel	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	+	0	0	-	-	0	0.0029455081001472753
aᴱ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	+	-	-	0	0	-	-	0	0.0003681885125184094
b	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.6185567010309279
bm	consonant	-	-	-	-	+	-,+	-	-	-	-	-	-,+	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.0003681885125184094
br	consonant	-	-	-	-	+	-,+	-,+	-	-,+	-	-,+	-	-	+,-	-	-	-,+	+	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.0003681885125184094
bv	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.007731958762886598
bvʷ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	+	-,+	+,-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.0003681885125184094
bz	consonant	-	-	-	-	+	-	-,+	-,+	-	-	-	-	-	+,-	-	-	-,+	+	-	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.0011045655375552283
bzʷ	consonant	-	-	-	-	+	-	-,+	-,+	-	-	-	-	-	+,-,+	-,0,+	-	-,+	+	-	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.0003681885125184094
bɡ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+,-	-	-	-	0	0	0	-,+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-	0.0003681885125184094
bɦ	consonant	-	-	-	-	+,-	-	-,+	-,+	-	-	-	-	-	+,-	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-,+	-	-	-	-	-	-	0.0003681885125184094
bɾ	consonant	-	-	-	-	+	-,+	-,+	-	-,+	-,+	-	-	-	+,-	-	-	-,+	+	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.0003681885125184094
bʱ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-	0.005522827687776142
bʱː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-	0.0003681885125184094
bʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-	0.01914580265095729
bʲː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-	0.0003681885125184094
bʷ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-,+	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.02025036818851252
bʷː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-,+	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.0007363770250368188
bʷˠ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-,+	-	-	0	0	0	-,+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-	0.0007363770250368188
bʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-	0.0003681885125184094
bˀ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	+	-	-	-	-	-	0.0007363770250368188
bː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.022827687776141383
b˞	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	+	+	+	+	+	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-	0.0003681885125184094
bˠ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-,+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-	0.0007363770250368188
bˤ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-,+	-	+	-	-	-	-	-	-	-	-	0.0011045655375552283
bˤː	consonant	-	-	-	+	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-,+	-	+	-	-	-	-	-	-	-	-	0.0003681885125184094
