Phoneme	SegmentClass	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
h	consonant	-	-	-	-	-	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
j	consonant	-	-	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	-	-	-	-	-
k	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
kʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	+	-	-	-	-	-	-
kˀ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	+	-	-	-	-	-
l	consonant	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
m	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
n	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
p	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
pʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
pˀ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	+	-	-	-	-	-
s	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
sˀ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	-	-	-	-	-	+	-	-	-	-	-
t	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
tʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
tˀ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	+	-	-	-	-	-
t̠ʃ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
t̠ʃʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
t̠ʃˀ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	+	-	-	-	-	-
w	consonant	-	-	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	-	-	-	-	-
ŋ	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ʔ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	+	-	-	-	-	-
a	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0
aː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0
e	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
eː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
i	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
iː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
o	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
oː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
u	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
uː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
y	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
æ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	+	-	0	-	-	+	-	-	-	0	0	-	-	0
æː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	+	-	0	-	-	+	-	-	-	0	0	-	-	0
ø	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
ɤ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
ɤː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
ɯ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
ɯː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
b	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
d	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
dʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
k̟	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
lʲ	consonant	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
lˠ	consonant	-	-	-	-	+	+	+	0	+	-	-	-	+	-	0	0	+	+	-	-	-,+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
nʲ	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
q	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	-	-	-	-	-	-
sʲ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	+	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
tʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
ʝ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	-	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ɔ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	0	-	-	0
ɔː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	0	-	-	0
ɨ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	+	-	-	+	-	-	-	0	0	-	-	0
ɨː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	+	-	-	+	-	-	-	0	0	-	-	0
ɵ̞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	-	0	-	-	+	-	-	-	0	0	-	-	0
ɵ̞ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	-	0	-	-	+	-	-	-	0	0	-	-	0
ʊ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	-	-	-	+	-	-	-	0	0	-	-	0
kʷʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	+	-	-	-	0	-	-	-	-	+	-	-	-	-	-	-
kʷʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	+	-	-	+	-	-
kʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	+	-	-	+	-	-
k͈	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	+	-	-	-	-
k͈ʷ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	+	-	-	-	-
pʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
p͈	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	-	+	-	-	-	-
qʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	-	-	+	-	-	-	-	-	-
qʷʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	-	-	+	-	-	-	-	-	-
qʷʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	+	-	-	+	-	-
qʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	+	-	-	+	-	-
q͈	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	-	+	-	-	-	-
q͈ʷ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	-	+	-	-	-	-
r	consonant	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
s͈	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	-	-	-	-	-	-	+	-	-	-	-
tsʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
tsʷʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	+	+	-	+	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
tsʷʼ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	+	+	-	+	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
tsʼ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
tʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
t̠ʃʷʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	+	-	+	+	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
t̠ʃʷʼ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
t̠ʃʼ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
t̠͈ʃ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	+	-	-	-	-
t̠͈ʃʷ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	+	-	-	-	-
t͈	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	-	+	-	-	-	-
t͈s	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	-	-	-	-	-	-	+	-	-	-	-
t͈sʷ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	+	+	-	+	-	0	0	0	0	0	-	-	-	-	-	-	+	-	-	-	-
x	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
xʷ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-,+	+	-	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
x͈	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	+	-	-	-	-
x͈ʷ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-,+	+	-	-	0	0	0	+	+	-	-	-	0	-	-	-	-	-	-	+	-	-	-	-
z	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ħ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	+	0	+	-	-	-	-	-	-	-	-	-	-
ɡ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ɢ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	+	-	-	-	-	-	-	-	-
ɢʷ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	+	-	-	-	-	-	-	-	-
ʃ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
ʃʷ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-,+	+	-	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
ʃ͈	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	+	-	-	-	-
ʃ͈ʷ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-,+	+	-	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	-	+	-	-	-	-
ʒ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
χ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	-	-	-	-	-	-
χʷ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-,+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	-	-	-	-	-	-
χ͈	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	-	+	-	-	-	-
χ͈ʷ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-,+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	-	+	-	-	-	-
e̞ˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	0	-,+	-	+	-	-	-	0	0	-	-	0
æˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	+	-	0	-,+	-	+	-	-	-	0	0	-	-	0
ø̞ˤ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	+	-	0	-,+	-	+	-	-	-	0	0	-	-	0
d̻	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
d̻z̻	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
f	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
fʼ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
k̟ʲʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	0	-	-	-	-	+	-	-	-	-	-	-
k̟ʲʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	0	-	-	-	-	-	+	-	-	+	-	-
n̻	consonant	-	-	-	-	+	+	-	0	-	-	-	+	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
qχ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	-	-	-	-	-	-
qχʷ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	-	-	-	-	-	-
qχʷʼ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-,+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	+	-	-	+	-	-
qχʼ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	-	-	-	+	-	-	+	-	-
s̻	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
t̻s̻	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
t̻s̻ʼ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
t̻ʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
t̻ʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
v	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
x̟ʲ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
z̻	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	+	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ç̟	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	+	-	+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
ɡʷ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	+	+	-	-	-	0	-	-	+	-	-	-	-	-	-	-	-
ɡ̟ʲ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ɣ̟ʲ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ɦ	consonant	-	-	-	-	-	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
ɬʲ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	+	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	-	-	-	-	-	-
ɬʲʼ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	+	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	-	-	-	+	-	-	+	-	-
ɮʲ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	+	-	0	0	+	+	-	-	-,+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
ʁ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	0	-	-	+	-	-	-	-	-	-	-	-
ʁʷ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-,+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	+	-	-	-	-	-	-	-	-
ʃʼ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	-	-	-	+	-	-	+	-	-
ʔʷ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-,+	+	-	-	0	0	0	-	0	0	0	0	0	-	-	-	-	-	+	-	-	-	-	-
ʕ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	+	0	+	-	+	-	-	-	-	-	-	-	-
ʝ̟	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	+	+	-	+	+	-	+	-	0	-	-	+	-	-	-	-	-	-	-	-
a̟ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	0	-	0	-	-	+	-	-	-	0	0	-	-	0
e̞ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	0	-	-	+	-	-	-	0	0	-	-	0
o̞ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	+	-	-	-	0	0	-	-	0
ɜ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	0	-	-	0
ts	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
β	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
a̟	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	0	-	0	-	-	+	-	-	-	0	0	-	-	0
e̞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	0	-	-	+	-	-	-	0	0	-	-	0
o̞	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	0	-	-	+	-	-	-	0	0	-	-	0
ə̆	vowel	-	+	+	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	-	-	-	-	+	-	-	-	0	0	-	-	0
ɪ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	0	-	-	0
d̠ʒ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ɖ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ɖʐ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	-	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ʂ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	-	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
ʈ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
ʈʂ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	-	+	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
ʈʂʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	-	+	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
ʈʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	-	-	-	-	+	-	-	-	-	-	-
ʐ͇	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	+	-	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ãː	vowel	-	+	-	+	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	0	-	-	0
ũː	vowel	-	+	-	+	-	+	+	0	+	-	-	+	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	0	-	-	0
b̤	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	+	-	-	-	0	0	0	-	0	0	0	0	0	-	-	+	-	+	-	-	-	-	-	-
d̠ʒː	consonant	-	-	-	+	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
