Phoneme	SegmentClass	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	lenis	raisedLarynxEjective	loweredLarynxImplosive	click
r̺̥	consonant	-	-	-	-	+	+	+	0	+	-	+	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-
tsˤʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	+	-	+	-	0	0	0	0	0	-,+	-	-	-	+	-	-	-	-	-	-
t̠ʃˤʰ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-,+	-	-	-	+	-	-	-	-	-	-
t̠ʃˤʼ	consonant	-	-	-	-	+	-	-	+	-	-	-	-	-	-	0	0	+	-	+	+	-	0	0	0	0	0	-,+	-	-	-	-	+	-	-	+	-	-
t̪ˤʰ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-,+	-	-	-	+	-	-	-	-	-	-
t̪ˤʼ	consonant	-	-	-	-	+	-	-	-	-	-	-	-	-	-	0	0	+	+	+	-	-	0	0	0	0	0	-,+	-	-	-	-	+	-	-	+	-	-
vˤ	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	+	-	+	-	0	0	0	-	0	0	0	0	0	-,+	-	+	-	-	-	-	-	-	-	-
x̠	consonant	-	-	-	-	+	-	+	+	-	-	-	-	-	-	0	0	-	-	+	0	+	+	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-
ɾ̺	consonant	-	-	-	-	+	+	+	0	+	+	-	-	-	-	0	0	+	+	-	-	-	0	0	0	0	0	-	-	+	-	-	-	-	-	-	-	-
ɔaː	vowel	-	+	-	-,+	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	-	-,+	-	+,-	-	-	-	+	-	-	-	0	0	-	-	0
ɛ̯æː	vowel	-	-,+	-	-,+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-,+	+	-	-	-	-	+	-	-	-	0	0	-	-	0
yœ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+,-	-	+	-	+,-	-	-	+	-	-	-	0	0	-	-	0
ɯɑ	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+,-	-,+	-	+	+	-	-	+	-	-	-	0	0	-	-	0
yi̯	vowel	-	+,-	-	-	-	+	+	0	+	-	-	-	-	+,-	+	-	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	0	-	-	0
œ̜	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	0	-	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	0	-	-	0
œ̜ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	0	-	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	0	-	-	0
ɔ̜	vowel	-	+	-	-	-	+	+	0	+	-	-	-	-	+	0	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	0	-	-	0
ɔ̜ː	vowel	-	+	-	+	-	+	+	0	+	-	-	-	-	+	0	-	-	0	0	0	+	-	-	-	+	-	-	-	+	-	-	-	0	0	-	-	0
